id,atom_id,atom_type,charge
d1,d1_1,c,22
d1,d1_2,c,22
d1,d1_3,c,22
d1,d1_4,c,195
d1,d1_5,c,195
d1,d1_6,c,22
d1,d1_7,h,3
d1,d1_8,h,3
d1,d1_9,h,3
d1,d1_10,h,3
d1,d1_11,c,27
d1,d1_12,c,27
d1,d1_13,c,22
d1,d1_14,c,22
d1,d1_15,h,3
d1,d1_16,h,3
d1,d1_17,c,22
d1,d1_18,c,22
d1,d1_19,c,22
d1,d1_20,c,22
d1,d1_21,h,3
d1,d1_22,h,3
d1,d1_23,h,3
d1,d1_24,n,38
d1,d1_25,o,40
d1,d1_26,o,40
d100,d100_1,c,22
d100,d100_2,c,22
d100,d100_3,c,22
d100,d100_4,c,29
d100,d100_5,c,22
d100,d100_6,c,22
d100,d100_7,h,3
d100,d100_8,h,3
d100,d100_9,h,3
d100,d100_10,h,3
d100,d100_11,c,29
d100,d100_12,c,22
d100,d100_13,c,22
d100,d100_14,c,22
d100,d100_15,c,22
d100,d100_16,c,22
d100,d100_17,h,3
d100,d100_18,h,3
d100,d100_19,h,3
d100,d100_20,h,3
d100,d100_21,n,32
d100,d100_22,n,38
d100,d100_23,o,40
d100,d100_24,o,40
d100,d100_25,h,1
d100,d100_26,h,1
d101,d101_1,c,22
d101,d101_2,c,22
d101,d101_3,c,27
d101,d101_4,c,27
d101,d101_5,c,27
d101,d101_6,c,22
d101,d101_7,c,22
d101,d101_8,c,22
d101,d101_9,c,27
d101,d101_10,c,27
d101,d101_11,c,27
d101,d101_12,c,22
d101,d101_13,c,22
d101,d101_14,c,22
d101,d101_15,c,22
d101,d101_16,c,22
d101,d101_17,c,10
d101,d101_18,c,10
d101,d101_19,c,10
d101,d101_20,c,10
d101,d101_21,n,38
d101,d101_22,o,40
d101,d101_23,o,40
d101,d101_24,h,3
d101,d101_25,h,3
d101,d101_26,h,3
d101,d101_27,h,3
d101,d101_28,h,3
d101,d101_29,h,3
d101,d101_30,h,3
d101,d101_31,h,3
d101,d101_32,h,3
d101,d101_33,h,3
d101,d101_34,h,3
d101,d101_35,h,3
d101,d101_36,h,3
d101,d101_37,h,3
d101,d101_38,h,3
d102,d102_1,c,22
d102,d102_2,c,22
d102,d102_3,c,22
d102,d102_4,c,29
d102,d102_5,c,22
d102,d102_6,c,22
d102,d102_7,h,3
d102,d102_8,h,3
d102,d102_9,c,22
d102,d102_10,c,22
d102,d102_11,c,22
d102,d102_12,c,22
d102,d102_13,c,22
d102,d102_14,c,29
d102,d102_15,h,3
d102,d102_16,h,3
d102,d102_17,c,14
d102,d102_18,o,40
d102,d102_19,n,38
d102,d102_20,n,38
d102,d102_21,n,38
d102,d102_22,n,38
d102,d102_23,o,40
d102,d102_24,o,40
d102,d102_25,o,40
d102,d102_26,o,40
d102,d102_27,o,40
d102,d102_28,o,40
d102,d102_29,o,40
d102,d102_30,o,40
d103,d103_1,c,22
d103,d103_2,c,22
d103,d103_3,c,27
d103,d103_4,c,27
d103,d103_5,c,27
d103,d103_6,c,22
d103,d103_7,h,3
d103,d103_8,h,3
d103,d103_9,h,3
d103,d103_10,c,22
d103,d103_11,c,22
d103,d103_12,c,27
d103,d103_13,c,27
d103,d103_14,h,3
d103,d103_15,h,3
d103,d103_16,c,27
d103,d103_17,c,22
d103,d103_18,c,22
d103,d103_19,h,3
d103,d103_20,h,3
d103,d103_21,c,22
d103,d103_22,c,22
d103,d103_23,c,22
d103,d103_24,h,3
d103,d103_25,h,3
d103,d103_26,n,38
d103,d103_27,o,40
d103,d103_28,o,40
d104,d104_1,c,22
d104,d104_2,c,22
d104,d104_3,c,27
d104,d104_4,c,27
d104,d104_5,c,27
d104,d104_6,c,22
d104,d104_7,c,22
d104,d104_8,c,22
d104,d104_9,c,27
d104,d104_10,c,27
d104,d104_11,c,27
d104,d104_12,c,22
d104,d104_13,c,22
d104,d104_14,c,22
d104,d104_15,c,22
d104,d104_16,c,22
d104,d104_17,c,10
d104,d104_18,c,10
d104,d104_19,c,10
d104,d104_20,c,10
d104,d104_21,n,38
d104,d104_22,o,40
d104,d104_23,o,40
d104,d104_24,h,3
d104,d104_25,h,3
d104,d104_26,h,3
d104,d104_27,h,3
d104,d104_28,h,3
d104,d104_29,h,3
d104,d104_30,h,3
d104,d104_31,h,3
d104,d104_32,h,3
d104,d104_33,h,3
d104,d104_34,h,3
d104,d104_35,h,3
d104,d104_36,h,3
d104,d104_37,h,3
d104,d104_38,h,3
d105,d105_1,c,22
d105,d105_2,c,22
d105,d105_3,c,22
d105,d105_4,c,27
d105,d105_5,c,27
d105,d105_6,c,22
d105,d105_7,h,3
d105,d105_8,h,3
d105,d105_9,h,3
d105,d105_10,c,27
d105,d105_11,c,27
d105,d105_12,n,35
d105,d105_13,c,22
d105,d105_14,h,3
d105,d105_15,c,22
d105,d105_16,c,22
d105,d105_17,c,22
d105,d105_18,n,35
d105,d105_19,h,3
d105,d105_20,h,3
d105,d105_21,h,3
d105,d105_22,n,38
d105,d105_23,o,40
d105,d105_24,o,40
d107,d107_1,c,22
d107,d107_2,c,22
d107,d107_3,c,27
d107,d107_4,c,27
d107,d107_5,c,28
d107,d107_6,c,22
d107,d107_7,h,3
d107,d107_8,h,3
d107,d107_9,c,22
d107,d107_10,c,22
d107,d107_11,c,22
d107,d107_12,c,29
d107,d107_13,h,3
d107,d107_14,c,28
d107,d107_15,c,28
d107,d107_16,c,22
d107,d107_17,c,22
d107,d107_18,c,22
d107,d107_19,c,22
d107,d107_20,h,3
d107,d107_21,h,3
d107,d107_22,h,3
d107,d107_23,h,3
d107,d107_24,n,38
d107,d107_25,n,38
d107,d107_26,n,38
d107,d107_27,o,40
d107,d107_28,o,40
d107,d107_29,o,40
d107,d107_30,o,40
d107,d107_31,o,40
d107,d107_32,o,40
d108,d108_1,c,22
d108,d108_2,c,22
d108,d108_3,c,27
d108,d108_4,c,27
d108,d108_5,c,28
d108,d108_6,c,22
d108,d108_7,h,3
d108,d108_8,h,3
d108,d108_9,c,22
d108,d108_10,c,22
d108,d108_11,c,22
d108,d108_12,c,29
d108,d108_13,h,3
d108,d108_14,c,28
d108,d108_15,c,28
d108,d108_16,c,22
d108,d108_17,c,22
d108,d108_18,c,22
d108,d108_19,c,22
d108,d108_20,h,3
d108,d108_21,h,3
d108,d108_22,h,3
d108,d108_23,h,3
d108,d108_24,n,38
d108,d108_25,o,40
d108,d108_26,o,40
d108,d108_27,h,3
d108,d108_28,h,3
d109,d109_1,c,22
d109,d109_2,c,22
d109,d109_3,c,22
d109,d109_4,c,29
d109,d109_5,c,27
d109,d109_6,c,27
d109,d109_7,c,29
d109,d109_8,c,27
d109,d109_9,c,27
d109,d109_10,c,27
d109,d109_11,c,27
d109,d109_12,c,22
d109,d109_13,c,22
d109,d109_14,c,27
d109,d109_15,c,27
d109,d109_16,c,22
d109,d109_17,c,22
d109,d109_18,c,22
d109,d109_19,c,22
d109,d109_20,c,22
d109,d109_21,c,22
d109,d109_22,c,22
d109,d109_23,n,38
d109,d109_24,n,38
d109,d109_25,o,40
d109,d109_26,o,40
d109,d109_27,o,40
d109,d109_28,o,40
d109,d109_29,h,3
d109,d109_30,h,3
d109,d109_31,h,3
d109,d109_32,h,3
d109,d109_33,h,3
d109,d109_34,h,3
d109,d109_35,h,3
d109,d109_36,h,3
d109,d109_37,h,3
d109,d109_38,h,3
d11,d11_1,c,22
d11,d11_2,c,22
d11,d11_3,c,22
d11,d11_4,c,195
d11,d11_5,c,195
d11,d11_6,c,22
d11,d11_7,h,3
d11,d11_8,h,3
d11,d11_9,h,3
d11,d11_10,h,3
d11,d11_11,c,27
d11,d11_12,c,27
d11,d11_13,c,22
d11,d11_14,c,22
d11,d11_15,h,3
d11,d11_16,c,22
d11,d11_17,c,22
d11,d11_18,c,22
d11,d11_19,c,22
d11,d11_20,h,3
d11,d11_21,h,3
d11,d11_22,h,3
d11,d11_23,h,3
d11,d11_24,n,38
d11,d11_25,o,40
d11,d11_26,o,40
d110,d110_1,c,22
d110,d110_2,c,22
d110,d110_3,c,22
d110,d110_4,c,29
d110,d110_5,c,22
d110,d110_6,c,22
d110,d110_7,h,3
d110,d110_8,h,3
d110,d110_9,h,3
d110,d110_10,c,29
d110,d110_11,c,22
d110,d110_12,c,22
d110,d110_13,c,22
d110,d110_14,c,22
d110,d110_15,c,22
d110,d110_16,h,3
d110,d110_17,h,3
d110,d110_18,h,3
d110,d110_19,n,38
d110,d110_20,n,38
d110,d110_21,n,38
d110,d110_22,n,38
d110,d110_23,o,40
d110,d110_24,o,40
d110,d110_25,o,40
d110,d110_26,o,40
d110,d110_27,o,40
d110,d110_28,o,40
d110,d110_29,o,40
d110,d110_30,o,40
d111,d111_1,c,22
d111,d111_2,c,22
d111,d111_3,c,22
d111,d111_4,c,22
d111,d111_5,c,22
d111,d111_6,c,22
d111,d111_7,h,3
d111,d111_8,h,3
d111,d111_9,h,3
d111,d111_10,c,14
d111,d111_11,o,41
d111,d111_12,h,3
d111,d111_13,h,3
d111,d111_14,n,38
d111,d111_15,o,40
d111,d111_16,o,40
d112,d112_1,c,22
d112,d112_2,c,22
d112,d112_3,c,27
d112,d112_4,c,27
d112,d112_5,c,22
d112,d112_6,c,22
d112,d112_7,h,3
d112,d112_8,h,3
d112,d112_9,h,3
d112,d112_10,c,22
d112,d112_11,c,22
d112,d112_12,c,22
d112,d112_13,c,22
d112,d112_14,h,3
d112,d112_15,h,3
d112,d112_16,c,10
d112,d112_17,c,10
d112,d112_18,h,3
d112,d112_19,h,3
d112,d112_20,h,3
d112,d112_21,h,3
d112,d112_22,n,38
d112,d112_23,o,40
d112,d112_24,o,40
d113,d113_1,c,22
d113,d113_2,c,22
d113,d113_3,c,22
d113,d113_4,c,22
d113,d113_5,c,22
d113,d113_6,c,22
d113,d113_7,h,3
d113,d113_8,h,3
d113,d113_9,h,3
d113,d113_10,n,32
d113,d113_11,n,38
d113,d113_12,n,38
